date,action,rule,interface_in,ipsrc,ipdst,proto,portsrc,portdst,year,month,day,timestamp,portsrc_range,portdst_range,hour,ipsrc_class,ipdst_class,isprivatesrc,isprivatedst
2024-03-10 14:40:37,PERMIT,4.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,80.0,2024,3,10,14:40:37,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:40:37,PERMIT,2.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,23.0,2024,3,10,14:40:37,Dynamic,well-known,14,A,B,Private,Private
2024-03-10 14:40:37,PERMIT,2.0,eth0,192.168.4.1,172.17.0.2,TCP,63008.0,23.0,2024,3,10,14:40:37,Dynamic,well-known,14,C,B,Private,Private
2024-03-10 14:40:37,PERMIT,2.0,eth0,172.156.2.26,172.17.0.2,TCP,63008.0,23.0,2024,3,10,14:40:37,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:40:37,PERMIT,2.0,eth0,192.168.1.0,172.17.0.2,TCP,63008.0,23.0,2024,3,10,14:40:37,Dynamic,well-known,14,C,B,Private,Private
2024-03-10 14:40:37,PERMIT,2.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,23.0,2024,3,10,14:40:37,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:40:37,PERMIT,5.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,3306.0,2024,3,10,14:40:37,Dynamic,Registered,14,A,B,Private,Private
2024-03-10 14:40:37,PERMIT,5.0,eth0,192.168.4.1,172.17.0.2,TCP,63008.0,3306.0,2024,3,10,14:40:37,Dynamic,Registered,14,C,B,Private,Private
2024-03-10 14:40:37,PERMIT,5.0,eth0,172.156.2.26,172.17.0.2,TCP,63008.0,3306.0,2024,3,10,14:40:37,Dynamic,Registered,14,B,B,Private,Private
2024-03-10 14:40:38,PERMIT,5.0,eth0,192.168.1.0,172.17.0.2,TCP,63008.0,3306.0,2024,3,10,14:40:38,Dynamic,Registered,14,C,B,Private,Private
2024-03-10 14:40:38,PERMIT,5.0,eth0,172.17.0.3,172.17.0.2,TCP,63008.0,3306.0,2024,3,10,14:40:38,Dynamic,Registered,14,B,B,Private,Private
2024-03-10 14:40:38,PERMIT,7.0,eth0,10.0.0.1,172.17.0.2,TCP,63008.0,50674.0,2024,3,10,14:40:38,Dynamic,Dynamic,14,A,B,Private,Private
2024-03-10 14:40:38,PERMIT,7.0,eth0,192.168.4.1,172.17.0.2,TCP,63008.0,50674.0,2024,3,10,14:40:38,Dynamic,Dynamic,14,C,B,Private,Private
